text,label,vocab
 This was the best summer I have ever experienced,happy,0
 I've found it but I've also found other tunnels,neutral,0
 Good night friends!!,neutral,0
 See yaaaa tomarrow,neutral,0
 The tingling of my fingers,neutral,0
 The fog that replaces my brain,neutral,0
 Almost past the tv,neutral,0
 I can only imagine my face looks like those people who try to throw their soul away,neutral,0
 I hate fucking pills,disgust,0
 I just came back yesterday from California,neutral,0
 I had a blast in california hanging out with my family and friends,happy,0
 Thank you to everyone who made me feel at home,happy,0
 I stayed at my best friends Ginny's house,neutral,0
 :) I love ya :),happy,0
" My best friend, her grandma doris and my sisterfriend planned a surprise baby shower for me and hailey on saturday",surprise,0
 Thank you so much for everyone who came,happy,0
 :) Hailey recieved many gift cards (because I couldn't bring that much on the plane back home) and cute baby clothes and toys!!,happy,0
 Thank you everyone!,happy,0
" We had a wonderful yummy cake, fruit and veggie treats",happy,0
" My friend Misty brought her cute new baby girl, Jamie!!",happy,0
 She is so adorable!!,happy,0
 We played fun baby games and caught up on some old times,happy,0
 I had a blast thank you friend!!!!,happy,0
 Here are some pics!!!,neutral,0
 Thank you guys,happy,0
" I miss you so much and can't wait to see Ginny, Sister friend and my mom in a couple months!!!",sad,0
 Love you,happy,0
" So many lies about who you're talking to, where you're going, what you're doing",disgust,0
" The people that just have to send a ""hug"" and it puts a smile on your face",happy,0
 You don't know their middle name or the age of their sister,neutral,0
" Yet you know things about them that not even their parents know, and it doesn't matter",neutral,0
 They manage to save you're life without actually ever seeing you,neutral,0
 They don't care how pretty you are or what clothes you wear,neutral,0
 They are amazing,surprise,0
 and I love them,happy,0
 My life is falling apart and I don't mean online,sad,0
" I'm becoming a broken toy and now that I have had twelve (I counted) vials of blood drawn, I just feel like I'm compltely useless",sad,0
 I started callin myself Aki-sama XD It's fun,happy,0
 *flails* At least it's not the unable to say anything gig that I had with Erik,neutral,0
 I want to get to know him and know more about him,neutral,0
 We had one last semester and now we have one this semester,neutral,0
" The Charlotte Observer featured this article about deep-fried Coke a few days ago, which is appaling enough by itself",disgust,0
" (Speaking of deep-fried shit, did you know there was a town in Texas where they take a Snickers bar, wrap it in bacon, and then deep-fry it?)",disgust,0
