text,label,vocab
"During the period of falling in love, each time that we met andespecially when we had not met for a long time.",joy,0
When I was involved in a traffic accident.,fear,0
"When I was driving home afterseveral days of hard work, therewas a motorist ahead of me who was driving at 50 km/hour andrefused, despite his low speeed to let me overtake.",anger,0
When I lost the person who meant the most to me. ,sadness,0
"The time I knocked a deer down - the sight of the animal'sinjuries and helplessness.The realization that the animal wasso badly hurt that it had to be put down, and when the animalscreamed at the moment of death.",disgust,0
When I did not speak the truth.,shame,0
When I caused problems for somebody because he could not keep theappointed time and this led to various consequences.,guilt,0
When I got a letter offering me the Summer job that I had appliedfor.,joy,0
When I was going home alone one night in Paris and a man came upbehind me and asked me if I was not afraid to be out alone solate at night.,fear,0
When I was talking to HIM at a party for the first time in a long while and a friend came and interrupted us and HE left.,anger,0
When my friends did not ask me to go to a New Year's partywith them.,sadness,0
When I saw all the very drunk kids (13-14 years old) in town onWalpurgis night.,disgust,0
When I could not remember what to say about a presentation taskat an accounts meeting.,shame,0
When my uncle and my neighbour came home under police escort.,guilt,0
[ On days when I feel close to my partner and other friends. When I feel at peace with myself and also experience a closecontact with people whom I regard greatly.],joy,0
"Every time I imagine that someone I love or I could contact aserious illness, even death.",fear,0
When I had been obviously unjustly treated and had no possibilityof elucidating this.,anger,0
When I think about the short time that we live and relate it tothe periods of my life when I think that I did not use thisshort time.,sadness,0
At a gathering I found myself involuntarily sitting next to twopeople who expressed opinions that I considered very low anddiscriminating.,disgust,0
When I realized that I was directing the feelings of discontentwith myself at my partner and this way was trying to put the blameon him instead of sorting out my own feeliings.,shame,0
I feel guilty when when I realize that I consider material thingsmore important than caring for my relatives.I feel veryself-centered.,guilt,0
After my girlfriend had taken her exam we went to her parent'splace.,joy,0
"When, for the first time I realized the meaning of death.",fear,0
When a car is overtaking another and I am forced to drive off theroad.,anger,0
"When I recently thought about the hard work it takes to study, and how one wants to try something else.When I read a theoreticalbook in English that I did not understand.",sadness,0
When I found a bristle in the liver paste tube.,disgust,0
"When I was tired and unmotivated, I shouted at my girlfriend andand brought up negative sides of her character which are actuallynot so important.",shame,0
When I think that I do not study enough.After the weekend Ithink that I should have been able to have accomplishedsomething during that time.,guilt,0
When I pass an examination which I did not think I did well.,joy,0
"When one has arranged to meet someone and that person arriveslate, in the meantime one starts thinking about all that couldhave gone wrong e.g a traffic accident.",fear,0
When one is unjustly accused of something one has not done.,anger,0
When one's studies seem hopelessly difficult and uninteresting.,sadness,0
"When one finds out that someone you know is not at all like onehad thought, for instance friends who steal and things like that,quite unwarranted.",disgust,0
"When one has been unjust, stupid towards someone else. ",shame,0
When one has neglected or been unjust to a good friend.,guilt,0
Passing an exam I did not expect to pass.,joy,0
When I climbed up a tree to pick apples.The angle of the ladderI was on did not enable me to get high enough.This impliedthat the ladder was not very stable.,fear,0
Friends who torture animals.,anger,0
[ Same as in anger.],sadness,0
Friends who torture animals.,disgust,0
[ Same as above - friends who torture animals.],shame,0
[ When excuses are necessary and I get out of doing it myself.],guilt,0
When I had my children.,joy,0
When my 2 year old son climbed up and sat on the 7th floorbalcony with his legs hanging out.He was holding on tightly tothe upper railing of the balcony but he could have easily losthis balance when he sat down.,fear,0
When my partner was attacked and lost three teeth.,anger,0
When I see children on T.V from areas devastated by drought andwar.,sadness,0
When I nearly walked on a blindworm and then saw it crawl away.,disgust,0
When I saw my 18 year old son grab an oxygen mask as he hadbreathing difficulties.I had a bad conscience because I had notstopped smoking.Medication for the dilation of his breathingtubes also caused a sense of guilt in me.,shame,0
"I experience a sense of guilt as my middle son cannot expresshimself like other children, neither verbally nor in writing.",guilt,0
When my child was born.,joy,0
"It was winter/spring and the ice was melting.I was far out on ajetty and I poked the ice with a long branch to try and break it. The branch went through the ice and I fell in, the water closedin over my head.",fear,0
"Unjust accusations directed at me and my way of acting, bysomeone close to me.",anger,0
Failing an examination.,sadness,0
"A drunkard fell, started bleeding and wet himself.Disgust thatturned into sadness-unpleasantness.",disgust,0
"When, as an adult I have been caught lying or behaving badly.",shame,0
"When I am in an environment or with a person much worse off thanme, I realize how privileged I am.",guilt,0
When I saw a person I had not seen for a long time.,joy,0
"When, as a child, I was nearly knocked down by a car.",fear,0
"When I heard on the radio that the football match in Belgium hadended in a catastrophe, and several people had died.I could not understand how normal people could behave in such a way.",anger,0
"When I feel lonely, perhaps because I have to study a lot and Iam shut up in my appartment.Nothing happens in particularbecause there is no time for anything else.",sadness,0
When one learns through the mass media all the wars and killinggoing on in the world.,disgust,0
"I lied, to be precise I cancelled a meeting with a good friend.",shame,0
When one lets friends down,guilt,0
When I was accepted for a course on finance and accounting.,joy,0
"A bus drove over my right leg.The event itself was not veryfrightening but when I had to wait in the emergency ward forthree hours and then my leg began to swell, I was frightened.",fear,0
"At my Summer job, nobody looked after me in particular and I hadto learn all on my own.",anger,0
When I was not accepted as a student in finance and accounting.,sadness,0
When I had just moved into my new appartment I found a ventilatorin the kitchen.I was going to clean it when I found that thedrum was full of mud and slime.I felt disgusted.,disgust,0
My elder brother and I have not always had a good relationshipand I feel ashamed of myself as I do not call him to talk to himnowadays.,shame,0
At my Summer job a new caretaker had been employed who was my age but I preferred going out for lunch with the accounts personnelrather than with him.,guilt,0
Passed an exam by 2 points.,joy,0
"In a cottage in a large forest, I was alone for a while in thedark.",fear,0
When I spoke to Jan-Erik Wikstr÷m on the telephone. ,anger,0
Railway station good-bye.,sadness,0
I saw a cripple in rags with small children in Italy.He wasprobably an imposter.,disgust,0
I told a friend that I was going to a party and he would notenjoy himself if he came along.He understoodthat he would nothave fitted in and there was something in that.,shame,0
I was the reason behind the break-up of my friend's relationshipwith his girlfriend.She finished with him.,guilt,0
I passed an exam that I was absolutely certain that I had failed.,joy,0
"On the way back from Denmark with a friend on a small yatch,there was a storm and my friend was blown overboard;I was veryscared till I managed to get him back onboard.",fear,0
I locked myself out.,anger,0
I missed the last tram home and had to walk in the pouring rain.,sadness,0
I found some worms in the food and I had obviously eaten some.,disgust,0
"My friend was so intoxicated that the police came and took himaway, and they later contacted his parents.",shame,0
I hapened to overhear something which I was not meant to hear.,guilt,0
When I won a trip to Greece in a competition.,joy,0
When I am out in the dark and a suspicious looking charactercomes towards me.,fear,0
"At work, when an elderly man complained unjustifiably about me anddistrusted me.",anger,0
When I had not understood anything after a lecture.,sadness,0
When an alcoholic stood dribbling over a food counter.,disgust,0
When my friend and I were discussing the good looks of a guy werealized that he had been listening.,shame,0
When I complained about a colleague to the manager and he toldher that someone had complained; this colleague came to mebelieving that I liked her.,guilt,0
At a friend's birthday party with some of my closest friends.Itwas all very pleasant and one could say that I was happy to havesuch good friends.,joy,0
On the way home one Friday night in the heavy rain the caracquaplanned.I lost contact with the road surface for a fewseconds.,fear,0
Mad at my dad.,anger,0
A case of unrequited love.,sadness,0
A bad smelling cucumber.,disgust,0
Nearly caught masturbating.,shame,0
I do not help out enough at home.,guilt,0
I felt very happy when I won the football pools.,joy,0
When I flew from Athens to Copenhagen after a holiday.The planewas caught in a storm and it began to shake and I thouhght thatwe were going to crash.,fear,0
When someone stole my bike.,anger,0
"When I saw the list of books to read for an acccouting course, Ithought \ Oh God how will I ever manaage it!\""""",sadness,0
It was when I read a newspaper article on the future and theyforesaw that we would be eating frog-burgers by the year 2000. An illustration showed a frog between two pieces of bread.,disgust,0
When I dropped a bottle in the state liquor store and everybobystarted laughing.,shame,0
"When I was young - 14, I pinched from a store and was caught. The store then contacted my parents.",guilt,0
When the whole family gets together for a one week holiday. Everybody feels free and the trip is well planned.It works outwell and we enjoy ourselves.,joy,0
"When I could not find my 2 year old daughter.I ran and lookedfor her everywhere and could not find her.(I finally found her,she had gone to bed to sleep)",fear,0
When friends try to put me down or hurt me.,anger,0
Marriage crises.Boredom.,sadness,0
When someone makes advances that one does not want.,disgust,0
The discovery that one has only thought of oneself.,shame,0
When I spanked a child in anger and later regretted it terribly.,guilt,0
When I passed the first examination that I had to repeat.,joy,0
When I drove to Stockholm for the first time and drove off theStora Hissingen road at the wrong exit.,fear,0
When my boyfriend went away for a month long holiday without me.,anger,0
Last year when I worked during the Summer holidays and studiedat the same time for an examination I had to repeat; my boyfriendwent to Greece for a holiday for a month.,sadness,0
When a dog is left whining outside a shop.,disgust,0
When I promised to help a friend over a weekend and did not keepthe promise.,shame,0
When I realized that I had three more examinations to take.,guilt,0
The day I was told that I had been accepted as a student ofeconomics.,joy,0
"While taking a short cut through the Vasa park, I was surroundedby three people who tried to steal my money.I was scared andwas saved only by the appearance of other people.",fear,0
"At a restaurant I observed how the gypsies tried to get money bycheating the foreigners i.e non Swedish speaking.My anger hadnothing to do with hatred against foreigners, but it was anexpression of the anger I feel when I see people being used .",anger,0
At the begining of a new course one is afraid of encounteringproblems one can not manage.Thoughts revolve around failingthe subject and the consequences it would have for the future.,sadness,0
While walking in town I noticed how the police harrassed a manwho was under the influence of alcohol.They terrified him withthe thought of arrest by driving close behind him on a pedestrianstreet.My disgust was directed at the gestures and the facialexpressions of the policemen; they seemed to be enjoyingthemselves.,disgust,0
"When my boyfriend revealed that he knew that I had discoveredthings of an important nature about him, I felt ashamed as I hadnot mentioned it earlier.",shame,0
"When I am dishonest to a friend to whom I am very close.Ifeel guilty because I know that he gives a different version ofthe truth and I have not corrected these mistakes, and he isaware that I know that they are wrong.",guilt,0
When I found out that I had passed the last two exams by amargin of three marks.,joy,0
When my father was ill and was waiting for the results of his tests.,fear,0
When I got caught in the pouring rain last Thursday and did nothave a raincoat on me.,anger,0
When I failed an exam.,sadness,0
"At a Sm÷rgasbord table, a man mixed differnet kinds of pickedherrings with fruit salad.",disgust,0
"When I had not prepared my contribution to the group asthoroughly as the other members, with the result that theoverall result was poor.",shame,0
"When my father and I worked on the house just after he hadrecovered from illness, I was rather lazy.This meant that hehad to work hard and was not very well later.",guilt,0
When I gave birth to my son and saw that he was alive and that Ihad managed it well.He was born a month too early with amalfunctioning lung.This happened a year ago.,joy,0
When I found out that my father had lung cancer and they did notknow how long he would live.,fear,0
"When a colleague asked me for help at work, despite the factthat he had more time to do it than I had.",anger,0
When I did not get the salary increase that I had been expectingand understood how little one's work was appreciated.,sadness,0
When I was weeding the garden I found a lizard in my hand.,disgust,0
"When I met a friend whom I had not seen for a long time andheard all about her troubles, I thought that I should have gotin touch with her earlier.",shame,0
I got angry at my mother for something trivial.We were in abad mood because my father was very ill and I knew that my motherreally needed support.I had reacted wrongly.,guilt,0
"New year's eve 1983/1984, I met my girlfriend.We stood on thesteps outside her parents home and I kissed her for thefirst time.",joy,0
"When I was stopped by plain clothes policemen because the car Iwas driving had overturned on the Avenue.I had been driving toofast, and I was afraid when I was stopped, questionned and thentoild to go.The situation ended happily since there were noconsequences.",fear,0
The editor changed the heading of an article that I had written. He considered the heading to be derogatory towards the person I had writtenabout.,anger,0
"A close acquaintance of the family died of lung cancer. Although it was expected, I still felt depressed.",sadness,0
"When I saw a picture, in the Gothenburg Post, of a totallydemolished car with two fatally injured passengers.The car wasso badly damaged that they couldn't get the bodies out at thescene of the accident.",disgust,0
One night I had a sexual intercourse with another man.My sexualdesire and my curiosity had made me jump into bed with him.I amashamed of myself now.,shame,0
"Due to laziness, I failed the term studies completely atUniversity.I also wanted, to some extent, to protest against myparents' expectations.",guilt,0
When I got the loan for my studies.,joy,0
I met intoxicated people with dubious intentions in a back alleyone Wednesday night.,fear,0
On the T.V I saw a news feature on South Africa.A policeman attacked a group of black people with a whip.,anger,0
The thought of having to read a boring book of 400 pages inEnglish.,sadness,0
Grovelling people.,disgust,0
My inability to assert myself positively in a group.,shame,0
I experience feelings of guilt because I do not study enough.,guilt,0
"Observing someone in the cafeteria noisily gulping in his food,having extremely bad manners.",disgust,0
I guess I have often been ashamed after having talked badly ofother people.,shame,0
Having been angry and unpleasant towards my parents.,guilt,0
When my sister - after a history of one abortion and onestillbirth - gave birth to a perfectly healty boy.,joy,0
"When my sister had the still born child, she was emotionally verydeep down, and it took her a long time to recover.",fear,0
"We were starting a student project, and the teacher we talked towas very negative and not very helpful.",anger,0
"When my boyfriend openly let me down, preferring another girl.",sadness,0
"I felt some disgust for my boyfriend for a time, after he hadleft me.",disgust,0
Can't think of any.,shame,0
