text,label
fear,fear
terror,fear
jealousy,anger
anger,anger
disappointment,sadness
starvation,sadness
despair,fear
panic,fear
betrayal,anger
distrust,worry
horror,fear
frustration,sadness
concern,worry
danger,fear
hatred,anger
violence,anger
envy,anger
resentment,anger
humiliation,anger
terrified,fear
excitement,happy
misery,sadness
contempt,anger
deception,anger
obsession,love
dread,fear
cruelty,fear
manipulation,neutral
indifference,boredom
sorrow,sadness
loneliness,sadness
awareness,neutral
desperation,sadness
acceptance,happy
rejection,sadness
confusion,worry
worry,worry
anguish,worry
intimidation,fear
arrogance,anger
exhaustion,neutral
manipulating,neutral
slavery,neutral
disgust,anger
suspicion,worry
fascination,happy
thirst,neutral
regret,fear
pride,happy
desire,neutral
rape,anger
obedience,fear
brutality,anger
warmth,love
doubt,worry
paranoia,anger
sweating,neutral
hating,anger
knowing,neutral
guilt,anger
devastation,anger
immortality,happy
empathy,love
helpless,sadness
torture,fear
degradation,neutral
certainty,neutral
possession,neutral
preparing,neutral
hunger,sadness
poverty,sadness
fury,anger
orphans,neutral
gratitude,happy
irritation,neutral
sweat,neutral
emotion,neutral
satisfaction,happy
strength,neutral
madness,anger
loyalty,happy
anarchy,neutral
lightning,neutral
embarrassment,sadness
confession,sadness
mud,neutral
stealth,neutral
darkness,neutral
emptiness,boredom
anticipation,happy
intensity,neutral
stupidity,anger
scouting,neutral
killing,fear
abandonment,sadness
enemies,anger
redemption,happy
depression,sadness
sunlight,happy
bruises,neutral
theft,anger
defiance,anger
rage,anger
pain,sadness
assassins,neutral
tracking,neutral
afraid,fear
heresy,anger
healing,happy
abandon,sadness
headache,sadness
sabotage,fear
destroying,fear
denial,neutral
disdain,anger
ruins,sadness
manipulated,neutral
fertility,neutral
zombies,neutral
addiction,neutral
power,neutral
hesitation,worry
haunted,fear
manipulate,neutral
compassion,love
revenge,anger
ashamed,sadness
sin,neutral
hurting,sadness
disaster,sadness
asthma,sadness
assessing,neutral
whispering,neutral
agony,sadness
rotting,neutral
lust,love
visibility,neutral
poisoned,sadness
aliens,neutral
eyes,neutral
survival,neutral
deprivation,anger
grief,sadness
understanding,neutral
burgundy,neutral
wasting,neutral
abuse,fear
salvation,happy
arousal,neutral
stealing,anger
frozen,neutral
iphone,neutral
shivering,fear
yearning,love
turmoil,neutral
tolerance,love
arrogant,anger
cement,neutral
dracula,neutral
athena,neutral
witchcraft,neutral
schizophrenia,neutral
sensation,neutral
proximity,neutral
hate,anger
genetics,neutral
selfish,anger
myths,neutral
brotherhood,love
frightened,fear
underworld,neutral
angered,anger
coyote,neutral
disrepair,neutral
insanity,anger
reality,neutral
destruction,fear
sulfur,neutral
pavement,neutral
discomfort,sadness
comfort,happy
leukemia,sadness
alarm,worry
bianca,neutral
longing,love
fears,fear
abandoned,sadness
control,neutral
chaos,neutral
fatigue,sadness
